post_id,person_id,post,_id
1,다시마의 블로그,처음으로 웹툰 리뷰글을 써보려고 한다. 이번에 끄적거려볼 작품은 바로 다음 웹툰 '어쩌다 발견한 7월'. '십이야'라는 웹툰으로 유명한 무류 작가의 작품으로 익히...,5ebdec0d396314496279cc39
2,오래된 서관,"웹툰 <안즈>는 매력있는 캐릭터들이 많아서 좋다. 멘탈이 심각하게 약한데다... 웹툰 <안즈>에는 매력적인 애너미가 제법 나온다. 1부 때 좋아 했던, 광자미 넘쳤던 그...",5ebdec0d396314496279cc3a
3,Fantasy,※광고아닙니다...내 돈 내가 결제..해서봄 (카카오 페이지 웹툰) 순정 로맨스 웹툰 추천/리뷰 : 연하의 곰신 오늘은 한유랑 작가님꺼 들고왔어요 한유랑 황미리 작가님껀...,5ebdec0d396314496279cc3b
4,정보사전,킬링타임용 웹툰 일단 한국 웹툰은 진짜 별로손안대는편인데 적당히 한국의 개그 감성에 일본씹덕감성도 맞춰져서 딱 적당한수준 정확히는 한국 웹소설의 웹툰화이지만...,5ebdec0d396314496279cc3c
5,청춘로연,강남웹툰학원 취업에 한 발짝 다가서다! 부모님의 반대를 무릅쓰고 제가 하고 싶은... 제 실력을 키울 수 있는 강남웹툰학원을 알아봤어요. 몇 군데 없을 줄 알았는데...,5ebdec0d396314496279cc3d
6,house,한번 빠지면 저는 완결까지 보는 편인데 이번에 이렇게 어른웹툰들을 위주로 보기... 요즘엔 현실보다 더 현실 같은 그림체도 많이 보이는데 그런 것보다도 웹툰은 정말...,5ebdec0d396314496279cc3e
7,일희일비,네이버 공포 웹툰 추천 제목 먹이 집수니로서 거의 모든 플랫폼의 웹툰을 섭렵하고 있다고 해도 과언이 아닌 자칭 웹툰 전문가 ^^~ 중에서도 공포 호러 분야 쪽은 그...,5ebdec0d396314496279cc3f
8,행운가득♥,"웹툰. 작가는 조석. 일관성 있는 개그를 자랑하는 작품이다. 2007년, 2008년, 2009년 대한민국 만화대상 인기상, 2017년 만화대상 대상을 수상했다. 특징 네이버 웹툰...",5ebdec0d396314496279cc40
9,쓸만한 잡동사니 작...,"최근에 웹툰 감상이 좀 뜸해졌는데 예전처럼 웹툰을 많이 즐겨보는 경향이 줄어서 그런 것도 있고, 재미있게 보던 웹툰들이 최근에 완결된 것들이 많아진 이유도 있는...",5ebdec0d396314496279cc41
10,QB @ その夢を、 叶...,ㅠ 일본판이라 칭코가 등장할지 기대하는 한국 독자들 있던데ㅋㅋ 한국판 웹툰과... 예약수량 측정해서 상중하 권으로 내도 좋을듯 ==================== 여기는 웹툰...,5ebdec0d396314496279cc42
